timestamp,price
2026-01-01T0000,100.0010
2026-01-01T0001,100.2403
2026-01-01T0002,100.0207
2026-01-01T0003,99.3106
2026-01-01T0004,98.9500
2026-01-01T0005,98.1681
2026-01-01T0006,98.2154
2026-01-01T0007,99.2741
2026-01-01T0008,98.8839
2026-01-01T0009,98.3943
2026-01-01T0010,98.7807
2026-01-01T0011,99.0631
2026-01-01T0012,99.1467
2026-01-01T0013,98.4114
2026-01-01T0014,98.3884
2026-01-01T0015,98.9372
2026-01-01T0016,97.8789
2026-01-01T0017,97.5212
2026-01-01T0018,96.0492
2026-01-01T0019,95.0634
2026-01-01T0020,93.6730
2026-01-01T0021,93.4970
2026-01-01T0022,92.5538
2026-01-01T0023,92.7549
2026-01-01T0024,92.8712
2026-01-01T0025,92.7325
2026-01-01T0026,90.8841
2026-01-01T0027,90.4932
2026-01-01T0028,90.4581
2026-01-01T0029,90.5402
2026-01-01T0030,89.4386
2026-01-01T0031,89.0974
2026-01-01T0032,88.4027
2026-01-01T0033,87.8325
2026-01-01T0034,88.5811
2026-01-01T0035,88.0107
2026-01-01T0036,87.9878
2026-01-01T0037,88.6125
2026-01-01T0038,88.1998
2026-01-01T0039,88.1210
2026-01-01T0040,88.1989
2026-01-01T0041,88.2439
2026-01-01T0042,87.3833
2026-01-01T0043,87.4366
2026-01-01T0044,88.3922
2026-01-01T0045,87.3049
2026-01-01T0046,87.9072
2026-01-01T0047,87.9912
2026-01-01T0048,87.5408
2026-01-01T0049,88.9530
2026-01-01T0050,89.4971
2026-01-01T0051,88.6426
2026-01-01T0052,88.6954
2026-01-01T0053,89.1056
2026-01-01T0054,88.9711
2026-01-01T0055,89.4585
2026-01-01T0056,89.4109
2026-01-01T0057,89.8895
2026-01-01T0058,90.9299
2026-01-01T0059,90.4397
2026-01-01T0060,90.5868
2026-01-01T0061,90.2517
2026-01-01T0062,90.3436
2026-01-01T0063,89.4896
2026-01-01T0064,89.0759
2026-01-01T0065,88.9362
2026-01-01T0066,89.5779
2026-01-01T0067,90.4024
2026-01-01T0068,89.4502
2026-01-01T0069,88.8834
2026-01-01T0070,89.3446
2026-01-01T0071,87.9318
2026-01-01T0072,87.6066
2026-01-01T0073,87.5384
2026-01-01T0074,88.4231
2026-01-01T0075,88.9122
