timestamp,participant,flow,price,event,label,vendor
2026-02-01T0000,P00,0.1753,100.4994,0,1,vendor_A
2026-02-01T0000,P01,0.3921,100.4994,0,1,vendor_A
2026-02-01T0000,P02,-0.3771,100.4994,0,1,vendor_A
2026-02-01T0000,P03,1.0292,100.4994,0,1,vendor_A
2026-02-01T0000,P04,0.2104,100.4994,0,0,vendor_A
2026-02-01T0000,P05,-1.2134,100.4994,0,0,vendor_B
2026-02-01T0000,P06,-0.9308,100.4994,0,0,vendor_B
2026-02-01T0000,P07,0.8055,100.4994,0,0,vendor_B
2026-02-01T0000,P08,0.4638,100.4994,0,0,vendor_B
2026-02-01T0000,P09,-1.8991,100.4994,0,0,
2026-02-01T0000,P10,1.3477,100.4994,0,0,
2026-02-01T0000,P11,0.5980,100.4994,0,0,
2026-02-01T0001,P00,1.3433,100.6547,0,1,vendor_A
2026-02-01T0001,P01,-0.3837,100.6547,0,1,vendor_A
2026-02-01T0001,P02,-0.2957,100.6547,0,1,vendor_A
2026-02-01T0001,P03,-1.1265,100.6547,0,1,vendor_A
2026-02-01T0001,P04,2.5369,100.6547,0,0,vendor_A
2026-02-01T0001,P05,-0.1755,100.6547,0,0,vendor_B
2026-02-01T0001,P06,1.5875,100.6547,0,0,vendor_B
2026-02-01T0001,P07,-0.6473,100.6547,0,0,vendor_B
2026-02-01T0001,P08,0.1638,100.6547,0,0,vendor_B
2026-02-01T0001,P09,-1.6714,100.6547,0,0,
2026-02-01T0001,P10,-0.3829,100.6547,0,0,
2026-02-01T0001,P11,0.9838,100.6547,0,0,
2026-02-01T0002,P00,-1.2517,100.7569,0,1,vendor_A
2026-02-01T0002,P01,1.0722,100.7569,0,1,vendor_A
2026-02-01T0002,P02,0.3372,100.7569,0,1,vendor_A
2026-02-01T0002,P03,-1.0440,100.7569,0,1,vendor_A
2026-02-01T0002,P04,-0.5016,100.7569,0,0,vendor_A
2026-02-01T0002,P05,-0.4591,100.7569,0,0,vendor_B
2026-02-01T0002,P06,-0.0495,100.7569,0,0,vendor_B
2026-02-01T0002,P07,-0.5361,100.7569,0,0,vendor_B
2026-02-01T0002,P08,-0.8273,100.7569,0,0,vendor_B
2026-02-01T0002,P09,-0.3046,100.7569,0,0,
2026-02-01T0002,P10,-1.0269,100.7569,0,0,
2026-02-01T0002,P11,-1.2895,100.7569,0,0,
2026-02-01T0003,P00,-0.0482,101.1583,0,1,vendor_A
2026-02-01T0003,P01,0.8829,101.1583,0,1,vendor_A
2026-02-01T0003,P02,-1.5294,101.1583,0,1,vendor_A
2026-02-01T0003,P03,0.0035,101.1583,0,1,vendor_A
2026-02-01T0003,P04,-0.6500,101.1583,0,0,vendor_A
2026-02-01T0003,P05,-0.9771,101.1583,0,0,vendor_B
2026-02-01T0003,P06,0.8534,101.1583,0,0,vendor_B
2026-02-01T0003,P07,-0.5182,101.1583,0,0,vendor_B
2026-02-01T0003,P08,1.4983,101.1583,0,0,vendor_B
2026-02-01T0003,P09,-0.7798,101.1583,0,0,
2026-02-01T0003,P10,0.3865,101.1583,0,0,
2026-02-01T0003,P11,-0.2273,101.1583,0,0,
2026-02-01T0004,P00,-0.7540,101.0043,0,1,vendor_A
2026-02-01T0004,P01,0.5877,101.0043,0,1,vendor_A
2026-02-01T0004,P02,-0.1550,101.0043,0,1,vendor_A
2026-02-01T0004,P03,0.6032,101.0043,0,1,vendor_A
2026-02-01T0004,P04,-0.0473,101.0043,0,0,vendor_A
2026-02-01T0004,P05,-1.0858,101.0043,0,0,vendor_B
2026-02-01T0004,P06,-0.1021,101.0043,0,0,vendor_B
2026-02-01T0004,P07,0.0520,101.0043,0,0,vendor_B
2026-02-01T0004,P08,0.9585,101.0043,0,0,vendor_B
2026-02-01T0004,P09,-0.9063,101.0043,0,0,
2026-02-01T0004,P10,-0.0393,101.0043,0,0,
2026-02-01T0004,P11,-1.7219,101.0043,0,0,
2026-02-01T0005,P00,0.6515,100.5717,0,1,vendor_A
2026-02-01T0005,P01,-1.0815,100.5717,0,1,vendor_A
2026-02-01T0005,P02,-1.8064,100.5717,0,1,vendor_A
2026-02-01T0005,P03,-0.0592,100.5717,0,1,vendor_A
2026-02-01T0005,P04,1.1057,100.5717,0,0,vendor_A
2026-02-01T0005,P05,-1.5244,100.5717,0,0,vendor_B
2026-02-01T0005,P06,-1.0880,100.5717,0,0,vendor_B
2026-02-01T0005,P07,-0.7433,100.5717,0,0,vendor_B
2026-02-01T0005,P08,-1.1295,100.5717,0,0,vendor_B
2026-02-01T0005,P09,0.3794,100.5717,0,0,
2026-02-01T0005,P10,-0.8074,100.5717,0,0,
2026-02-01T0005,P11,-0.7215,100.5717,0,0,
2026-02-01T0006,P00,0.5833,100.6827,0,1,vendor_A
2026-02-01T0006,P01,-0.7555,100.6827,0,1,vendor_A
2026-02-01T0006,P02,0.4328,100.6827,0,1,vendor_A
2026-02-01T0006,P03,-0.9714,100.6827,0,1,vendor_A
2026-02-01T0006,P04,-1.2121,100.6827,0,0,vendor_A
